NDC,Product,Major Class,Acute/Chronic,Prod Form,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07
187065142,8-MOP 01/1991 B.U,DERMATOLOGICS,ACUTE,ORALS,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59148000613,ABILIFY 11/2002 OTS,MENTAL HEALTH,CHRONIC,ORALS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59148001871,ABILIFY MAINTENA 03/2013 OTS,MENTAL HEALTH,CHRONIC,INJECTABLES,0.04499885391835033,0.0,0.0,0.0,0.0,0.0,0.0500003108147025,0.0,0.0,0.0,0.0,0.0,0.05000012686384115,0.0,0.0,0.0,0.0,0.0,0.04700055417013025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999973073757029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59148003085,ABILIFY MYCITE 03/2019 OTS,MENTAL HEALTH,CHRONIC,ORALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
68817013450,ABRAXANE 02/2005 CC5,ONCOLOGICS,ACUTE,INJECTABLES,0.017503026582774882,0.0,0.0,0.017503581992006394,0.0,0.0,0.01749892947725551,0.0,0.0,0.017497430418983433,0.0,0.0,0.0,0.0,0.0,0.05900272821997571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035000488204234535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0499996371579307,0.0,0.0,0.0,0.0,0.0
49884059002,ACCOLATE 10/1996 P.H,RESPIRATORY AGENTS,CHRONIC,ORALS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71052723,ACCUPRIL 12/1991 PFZ,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS,0.09439548781015882,0.0,0.0,0.0,0.0,0.09438726302409219,0.0,0.0,0.0,0.0,0.0,0.0,0.09440651883588332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022023,ACCURETIC 03/2000 PFZ,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS,0.09438821678662428,0.0,0.0,0.0,0.0,0.09438882599127336,0.0,0.0,0.0,0.0,0.0,0.0,0.09441015447919936,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62856024330,ACIPHEX 08/1999 EIS,ANTI-ULCERANTS,CHRONIC,ORALS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13551020501,ACIPHEX SPRINKLE 11/2013 CEO,ANTI-ULCERANTS,CHRONIC,ORALS,0.0,0.0,0.0,0.0,0.0,0.0,0.08903125000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0499998468226458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09899963544601578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
