,NDC,Manufacturer,Product,Product Launch Date,Estimated LOE Date,Major Class,Acute/Chronic,Prod Form,Pack Size,Pack Quantity,Date,Year,Month,TRx,Previous_TRx,TRx_cumulative,WAC,Pct_change,Changed,total_avg_TRx,
534,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30,4/1/2015,2015,4,16,,16,11.66333,,0,191.5609756,
535,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30,5/1/2015,2015,5,116,16,132,11.66333,0,0,191.5609756,
536,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30,6/1/2015,2015,6,242,116,374,11.66333,0,0,191.5609756,
537,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30,7/1/2015,2015,7,288,242,662,13.33333,0.143183808,1,191.5609756,
538,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30,8/1/2015,2015,8,326,288,988,13.33333,0,0,191.5609756,
539,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30,9/1/2015,2015,9,295,326,1283,13.33333,0,0,191.5609756,
540,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30,10/1/2015,2015,10,308,295,1591,13.33333,0,0,191.5609756,
541,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30,11/1/2015,2015,11,315,308,1906,13.33333,0,0,191.5609756,
542,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30,12/1/2015,2015,12,295,315,2201,13.33333,0,0,191.5609756,
543,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30,1/1/2016,2016,1,256,295,256,16,0.2000003,1,191.5609756,
544,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30,2/1/2016,2016,2,257,256,513,16,0,0,191.5609756,
545,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30,3/1/2016,2016,3,306,257,819,16,0,0,191.5609756,
