Date,Major Class,Class_wght_pct_change_y/y
2015_08,A.C.T.H.,0.07613988490482515
2015_08,ADHD,0.16499142906480674
2015_08,ALL OTHER THERAPEUTICS,0.2390220422320557
2015_08,ALL OTHER UROLOGICAL,0.09900080733049589
2015_08,"ALLERGY, SYSTEMIC & NASAL",0.0961398890622263
2015_08,ANTI-ALZHEIMERS,0.15849988007508817
2015_08,"ANTI-ANAEMICS, IRON AND ALL COMBINATIONS",0.004857193546941272
2015_08,ANTI-INFLAMMATORY AND DIGESTIVE ENZYMES AND MODULA,0.06899652856467456
2015_08,"ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",0.3253971802950114
2015_08,ANTI-ULCERANTS,0.12012039918556419
2015_08,ANTIBACTERIALS,0.19774716954491983
2015_08,ANTICOAGULANTS,0.1554710547133158
2015_08,ANTIDIABETICS,0.152717765085976
2015_08,ANTIGOUT PREPS,0.09887235973388453
2015_08,"ANTIHYPERTENSIVES, PLAIN & COMBO",0.18967333797889047
2015_08,ANTITUBERCULARS,0.15708562807644308
2015_08,"ANTIVIRALS, HERPES",0.18787946288630836
2015_08,BLOOD COAGULATION,1.6161402659978166
2015_08,BPH (BENIGN PROSTATIC HYPERTROPHY),0.18736428058783214
2015_08,"CANCER DETOX AG, ANTI-NAUSEANTS",0.2900608539978251
2015_08,"CORTICOSTEROIDS, PLAIN & COMBO",0.12687026094312845
2015_08,"COUGH COLD, INCL FLU ANTIVIRALS",0.08980855469652879
2015_08,DERMATOLOGICS,0.1737277451658214
2015_08,DIAGNOSTIC EQUIP & ACCESSORIES & ALLERGEN TESTS,0.01928033095179549
2015_08,DIETETICS,0.052850210831649314
2015_08,EAR TREATMENTS&EYE-EAR COMBOS,0.3008776741634667
2015_08,ERECTILE DYSFUNCTION,0.20085213006065636
2015_08,ERYTHROPOIETINS,0.04953325824749914
2015_08,GENITO-URINARY ANTIBACTERIALS & ANTISEPTICS & ANTI,0.1564288840744315
2015_08,GI PRODUCTS,0.13489341175172956
2015_08,GROWTH HORMONES,0.0
2015_08,HEMATOPOIETIC GROWTH FACTORS,0.04550417248913934
2015_08,HIV ANTIVIRALS,0.06396520436074006
2015_08,"HORMONAL CONTRACEPTION, SYSTEMIC&TOPICAL",0.10883011962816468
2015_08,HYPOTHALAMIC HORMONES,0.1640055837307845
2015_08,IMMUNOLOGY,0.19047190220309937
2015_08,IMMUNOSUPPRESSANTS,0.14261239910728746
2015_08,"INTERFERONS, EXCL MS MARKET",0.12359770379995488
2015_08,J07D6 TUBERCULOSIS VACCINES,0.0
2015_08,LABOUR INDUCERS,0.7849553761155971
2015_08,LIPID REGULATORS,0.16874057379729018
2015_08,MENTAL HEALTH,0.1015184744967048
2015_08,MIOTICS+ANTIGLAUCOMA PREPS,0.2048023226146416
