Date,Major Class,Class_wght_pct_change_y/y
2015_08,A.C.T.H.,0.07613988490482515
2015_08,ADHD,0.16408425807289762
2015_08,ALL OTHER RESPIRATORY,0.0
2015_08,ALL OTHER THERAPEUTICS,0.17229670809549658
2015_08,ALL OTHER UROLOGICAL,0.09898032704986073
2015_08,"ALLERGY, SYSTEMIC & NASAL",0.11306915296380375
2015_08,ANTI-ALZHEIMERS,0.15430037928488452
2015_08,"ANTI-ANAEMICS, IRON AND ALL COMBINATIONS",0.004857193546941272
2015_08,ANTI-INFLAMMATORY AND DIGESTIVE ENZYMES AND MODULA,0.06899652856467457
2015_08,"ANTI-OBESITY PREPS, EXCL. DIETETICS",0.0021679320954801832
2015_08,"ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",0.2898282051953025
2015_08,ANTI-ULCERANTS,0.11587812552704306
2015_08,ANTIBACTERIALS,0.19608463411179083
2015_08,ANTICOAGULANTS,0.14698282899353496
2015_08,ANTIDIABETICS,0.12550864670783016
2015_08,ANTIGOUT PREPS,0.07720732971395983
2015_08,"ANTIHYPERTENSIVES, PLAIN & COMBO",0.17573646125890113
2015_08,ANTITUBERCULARS,0.09050950269787682
2015_08,"ANTIVIRALS, HERPES",0.18647237019599872
2015_08,BISPHOSPHONATES TUMOR-RELATED & BONY METASTASES,0.0
2015_08,BLOOD COAGULATION,1.5932503442947
2015_08,BPH (BENIGN PROSTATIC HYPERTROPHY),0.20816632510634286
2015_08,"CANCER DETOX AG, ANTI-NAUSEANTS",0.10592228507971088
2015_08,"CORTICOSTEROIDS, PLAIN & COMBO",0.1250486231484789
2015_08,"COUGH COLD, INCL FLU ANTIVIRALS",0.08980855469652879
2015_08,DERMATOLOGICS,0.16032575799017945
2015_08,DIAGNOSTIC EQUIP & ACCESSORIES & ALLERGEN TESTS,0.006075082099336409
2015_08,DIETETICS,0.052850210831649314
2015_08,EAR TREATMENTS&EYE-EAR COMBOS,0.3008776741634667
2015_08,ERECTILE DYSFUNCTION,0.20084551584980723
